N_ele,N_states,sum_f_k
10,116,8.7826
10,96,8.727
10,76,8.6126
10,56,8.6898
18,343,15.0864
18,308,15.1497
18,273,15.1397
18,238,15.2708
18,133,15.4681
16,240,12.7888
16,180,12.7829
16,120,12.8173
14,155,10.6924
26,690,21.3757
26,640,21.4447
26,590,21.4742
26,540,21.6081
26,390,21.7514
26,640,21.5742
26,590,21.6621
24,540,19.1875
24,450,19.1616
22,368,16.9972
24,450,19.2676
24,405,19.2699
24,360,19.2132
24,405,19.3382
24,450,19.2077
24,405,19.1907
22,408,17.1082
24,540,18.9861
24,495,19.0613
24,450,19.1029
34,1157,27.6468
34,1092,27.7173
34,1027,27.7595
34,962,27.911
34,767,28.1184
34,572,28.292
34,1092,28.0052
32,960,25.5072
32,840,25.4829
32,840,25.5795
32,780,25.634
32,720,25.5682
32,780,25.7384
32,780,25.6879
32,720,25.7557
32,600,25.7387
32,600,25.8814
34,1157,27.6794
34,1092,27.7552
34,1027,27.7792
34,962,27.9168
34,1027,27.8314
34,962,27.8541
34,897,27.9866
34,897,27.8586
34,832,27.9901
34,767,28.1353
34,1092,27.8689
34,1027,27.9592
32,960,25.5143
32,840,25.5113
30,726,23.3309
32,900,25.5684
32,840,25.5711
32,720,25.5829
30,616,23.353
32,780,25.7319
32,660,25.7029
30,561,23.4985
32,840,25.6786
32,780,25.6854
32,780,25.6905
32,720,25.6501
32,720,25.641
32,660,25.6624
32,840,25.6108
32,840,25.7287
32,720,25.7579
32,780,25.7034
30,781,23.4565
30,726,23.4975
30,671,23.4828
30,616,23.644
30,781,23.2873
30,671,23.2949
28,570,21.0827
30,561,23.2719
28,470,21.0459
26,387,18.902
30,671,23.2567
28,620,21.1931
28,520,21.1983
26,432,19.0199
26,477,19.1091
32,960,25.5335
32,780,25.7255
32,600,25.8931
32,840,25.5416
32,780,25.5272
30,781,23.5421
32,960,25.3142
32,900,25.3885
32,840,25.366
32,780,25.5108
32,900,25.4013
32,840,25.4481
32,900,25.4845
32,960,25.3316
32,900,25.4659
32,840,25.5647
42,1744,33.9145
42,1664,33.953
42,1584,33.9971
42,1504,34.1717
42,1264,34.4128
42,1024,34.6879
42,784,34.9224
42,1744,33.9532
42,1664,34.0432
42,1584,34.0859
42,1504,34.23
42,1664,34.0347
42,1584,34.1272
42,1504,34.1376
42,1424,34.2735
42,1584,34.1019
42,1504,34.1538
42,1424,34.199
42,1344,34.3129
42,1504,34.2581
42,1424,34.2987
42,1344,34.3437
42,1264,34.4496
42,1264,34.4622
42,1184,34.5309
42,1104,34.5049
42,1024,34.6359
42,1664,34.1207
42,1584,34.2438
42,1664,34.2871
40,1500,31.8119
40,1350,31.8244
38,1204,29.6291
40,1425,31.8766
40,1350,31.9232
40,1200,31.9585
38,1064,29.7169
40,1275,32.0777
40,1125,32.0963
38,994,29.8495
40,1050,32.2564
40,900,32.2129
38,784,29.973
40,1350,32.1294
40,1275,32.1191
40,1275,32.0621
40,1200,32.1145
40,1200,32.0845
40,1125,32.1078
40,1350,32.0398
38,1274,29.7651
38,1204,29.8312
38,1134,29.8645
38,1064,30.0095
38,854,30.153
40,1500,31.8299
40,1425,31.9026
40,1350,31.9572
40,1275,32.0901
40,1350,31.8729
