i,real_index,MAE,Phi,SMI
1,2809,0.23981924,76.01807601,CC(C)(C=C)C=O
2,4587,0.23276345,76.72365510,CNNC(=O)C#N
3,5423,0.14844321,85.15567906,CC(C)C(F)CO
4,3968,0.17693466,82.30653363,COC(C)CC#N
5,2789,0.24231232,75.76876787,CC(C)(CF)C#C
6,3634,0.22561912,77.43808810,CC1(C)NCC1F
7,2508,0.21137364,78.86263594,CC(N)CC(O)=O
8,4984,0.17725230,82.27476957,CCC(O)C#CC
9,2863,0.15608002,84.39199762,CCCCC(C)F
10,414,0.25032843,74.96715736,FCC1CN1
11,4192,0.26769333,73.23066716,NN(CC#C)C=O
12,2700,0.19524762,80.47523811,CCC(C)(O)CF
13,2761,0.15922542,84.07745845,CCC(C)(F)C=O
14,7294,0.22441655,77.55834534,CC(C)CN1CC1
15,1967,0.35503553,64.49644739,C=NN=CC#N
16,5583,0.16837163,83.16283720,CCC(O)C(N)=N
17,3294,0.14416468,85.58353231,CC(O)C=CCF
18,7111,0.21548675,78.45132493,Cc1nc(O)co1
19,6899,0.22052270,77.94772990,CC1=CC(=O)CC1
20,2929,0.19181277,80.81872286,CC(C)CNN=C
21,4394,0.16800288,83.19971204,OCC(=C)CC=C
22,5716,0.19895452,80.10454793,CN(C=N)C(N)=N
23,4339,0.16737043,83.26295745,CCC(=O)NNC
24,6000,0.26491165,73.50883527,NC(=NO)C(O)=O
25,3099,0.19679613,80.32038708,CC(=O)COC=C
26,8102,0.17168821,82.83117872,OC1C=CCC1=C
27,3876,0.16836237,83.16376258,CCC(N)CNC
28,2660,0.39033015,60.96698527,CC1(C)CC1(C)C
29,2980,0.18700525,81.29947490,NC(=N)CCCF
30,1969,0.29745065,70.25493521,O=CC=CC#C
31,2866,0.15306192,84.69380830,CC(F)CCCF
32,854,0.44363535,55.63646521,OC(=O)C(O)=O
33,3827,0.19034839,80.96516077,CCC(N)CCF
34,7479,0.16006741,83.99325890,N=C1CCC=CN1
35,7897,0.20037600,79.96240037,CC1CCNC1=N
36,343,0.42320296,57.67970427,O=CNC=O
37,2752,0.21057955,78.94204540,CCC(C)(O)C#N
38,2785,0.25235888,74.76411165,COC(C)(C)C#N
39,5805,0.20083543,79.91645737,CCC(=O)C(F)F
40,7469,0.20316394,79.68360611,C=C1CCC=CC1
41,6186,0.24795486,75.20451384,COC(C)=C(C)C
42,542,0.17605635,82.39436494,COCC(C)F
43,3379,0.16920393,83.07960693,NC(=N)C=CCO
44,6908,0.23865180,76.13482031,NC1=CC(=N)NC1
45,4998,0.19851105,80.14889508,CC#CC(O)C=C
46,7882,0.19504551,80.49544910,FC1CCCC1=O
47,3815,0.18172032,81.82796768,CC(CN)CCF
48,3552,0.27869901,72.13009879,CCON=C(C)C
49,8269,0.20832633,79.16736731,FC1=CCNC1=O
50,5547,0.17513548,82.48645244,CC(CF)C(N)=O
51,7240,0.23645379,76.35462124,OC1CC(C1)C#C
52,2992,0.16592995,83.40700520,FCCCC(F)=C
53,1383,0.25034837,74.96516344,O=C1CCCO1
54,2219,0.24797520,75.20248045,CC(=C)C1CO1
55,665,0.22355948,77.64405188,CC(=C)OC=C
56,4015,0.17765507,82.23449265,OCC(F)CC#C
57,2541,0.20689949,79.31005110,CN(C)CC(F)=C
58,6601,0.25030096,74.96990355,C=C1CNC(=N)N1
59,6619,0.19235538,80.76446218,N=c1[nH]oc(=O)[nH]1
60,8556,0.19163118,80.83688207,Cc1onnc1N
61,3972,0.20039413,79.96058685,CC(CN)NC=O
62,6941,0.24591843,75.40815748,Oc1nc(=O)[nH][nH]1
63,2399,0.18714373,81.28562725,CC(C)(F)C=NN
64,1644,0.27508688,72.49131238,CC1C(C)C1F
65,3111,0.17702429,82.29757087,NC(=N)CON=C
66,5858,0.20774749,79.22525058,CN(C)C(=O)CN
67,6369,0.18079992,81.92000812,CNCC1(C)CO1
68,8379,0.24071045,75.92895511,Cc1ncnn1C
69,1588,0.23514829,76.48517138,Nc1ncco1
70,7448,0.18252413,81.74758671,FC1CON=CC1
71,5961,0.18658432,81.34156778,CCC(=C)C(O)=O
72,1447,0.22763386,77.23661436,OC1CON=C1
73,7749,0.21054575,78.94542519,CC1=CC=NOC1
74,1535,0.29044023,70.95597714,FC1=CCOC1
75,1479,0.38906646,61.09335391,O=c1nno[nH]1
76,967,0.17612693,82.38730699,CNC(C)CO
77,1158,0.36556375,63.44362491,COC(=O)OC
78,2232,0.37642472,62.35752791,C1CC2CC1N2
79,8388,0.26858473,73.14152735,Cc1nnnn1C
80,5174,0.18671085,81.32891477,CC(CO)=CCN
81,7920,0.17882390,82.11761001,FC1CONC1=O
82,1649,0.17935197,82.06480290,CC1C(O)C1F
83,1701,0.22083365,77.91663493,FCCCC#N
84,4897,0.17072290,82.92770956,CCC(=C)C=NN
85,2404,0.40112735,59.88726468,ON=CC(F)(F)F
86,793,0.36292602,63.70739752,FC(F)C(F)F
87,6847,0.23085485,76.91451459,Cc1ccc(F)o1
88,698,0.21373902,78.62609765,CN(C)C=NN
89,4881,0.19255329,80.74467057,CCC(=C)C=CF
90,2288,0.32133927,67.86607337,C1OCC2CC12
91,1367,0.23315925,76.68407468,CC1COCO1
92,4707,0.28316159,71.68384066,CCC(C)C=CC
93,7797,0.27402767,72.59723302,Fc1ccnnc1
94,8472,0.20418483,79.58151707,Nc1[nH]ccc1O
95,3394,0.18304555,81.69544469,CNC=CC(N)=N
96,8255,0.22880729,77.11927147,CC1=CCCC1=O
97,6602,0.23005278,76.99472166,C=C1CNC(=O)N1
98,378,0.26314239,73.68576094,CNN=CC
99,1990,0.27873649,72.12635145,FCC#CC=C
100,171,0.23097215,76.90278455,CC(=C)CO
101,1339,0.22290299,77.70970118,FC1CCC1=O
102,8317,0.24861115,75.13888538,Cc1cccn1N
103,7371,0.21442066,78.55793392,CC1COCCN1
104,1058,0.17773657,82.22634260,FC(C=C)C=O
105,134,0.20524175,79.47582483,CC(F)CN
106,5543,0.17225874,82.77412587,CC(CF)C(N)=N
107,7114,0.25179861,74.82013894,Oc1coc(F)n1
108,406,0.28068098,71.93190186,NCC1CC1
109,128,0.27004922,72.99507829,CC(N)CF
110,6651,0.19656443,80.34355677,CC1CN(N)C=N1
111,2403,0.32987716,67.01228351,NN=CC(F)(F)F
112,2982,0.18952389,81.04761079,NCCCC(N)=O
113,1290,0.25179583,74.82041667,CC(=NN)C#C
114,5925,0.25121778,74.87822238,CN(C)C(=O)C=O
115,7181,0.20445825,79.55417495,CNC1CC(C)C1
116,4903,0.21999858,78.00014177,ON=CC(=C)CF
117,6048,0.21313156,78.68684396,FC(=C)C(=C)C=C
118,2175,0.21061960,78.93804044,CC1OC1C=O
119,3502,0.25761506,74.23849374,CCC#CC(F)=C
120,316,0.33733231,66.26676934,COCC#N
121,4825,0.23910510,76.08948982,CC=CN(N)C=N
122,6319,0.33197990,66.80201020,CC1(CCC1)C#C
123,1809,0.20734689,79.26531062,CNCC=NN
124,5492,0.15705578,84.29442201,CC(O)C(F)C=O
125,827,0.21116253,78.88374749,CN(C)C(N)=O
126,2919,0.18553149,81.44685069,CC(C)CNC=N
127,7585,0.19432663,80.56733664,C=C1CNCC=C1
128,5854,0.18794260,81.20573955,CN(O)C(=N)CN
129,2890,0.17614189,82.38581055,CCOCC(F)F
130,6716,0.25300317,74.69968333,C=C1OC(=O)C=C1
131,8632,0.17864626,82.13537405,FC1CC(=O)C1F
132,7154,0.29648322,70.35167833,CC12CCC(C1)O2
133,8327,0.21693132,78.30686829,Cn1cncc1O
134,6348,0.16348991,83.65100939,FCCC1(F)CC1
135,7444,0.16163657,83.83634269,FC1COC=CC1
136,3986,0.14945760,85.05424028,CC(CO)OC=O
