title,E1,f1,E2,f2
1.0,10.3201,0.128,10.3202,0.128
2.0,6.7402,0.0781,8.8628,0.017
3.0,7.4048,0.0531,9.1785,0.0
4.0,10.0095,0.0312,10.0095,0.0312
5.0,8.9302,0.0,8.9302,0.0
6.0,5.9578,0.0063,7.023,0.0377
7.0,6.7275,0.0016,7.8143,0.0323
8.0,9.084,0.0245,9.084,0.0245
9.0,4.8416,0.0001,4.8416,0.0001
10.0,7.4692,0.0656,7.8428,0.3597
11.0,4.0161,0.0,7.1441,0.033
12.0,0.0017,0.0,6.7524,0.0
13.0,6.8333,0.0,7.0208,0.0
14.0,8.5237,0.0029,8.8699,0.0444
15.0,6.0144,0.0107,6.9473,0.0062
16.0,6.7843,0.0111,7.8156,0.0176
17.0,8.6846,0.0027,8.9839,0.013
18.0,9.1356,0.0288,9.9148,0.0
19.0,5.6155,0.0043,6.5784,0.0045
20.0,6.7226,0.0293,7.5805,0.0
21.0,6.9197,0.0126,7.5115,0.4001
22.0,4.3414,0.0,6.9099,0.02
23.0,7.9043,0.0,8.1767,0.0019
24.0,6.1324,0.0061,6.2412,0.0015
25.0,5.6379,0.0007,6.8009,0.0057
26.0,5.8385,0.0008,7.5844,0.0317
27.0,7.2304,0.0404,7.6918,0.3159
28.0,5.7722,0.0122,5.9701,0.1171
29.0,5.8155,0.0008,6.7886,0.1589
30.0,6.7536,0.0,6.9327,0.0011
31.0,7.9031,0.001,7.9033,0.001
32.0,6.4804,0.0016,7.2612,0.0308
33.0,7.3861,0.0295,7.8525,0.0097
