title,E1,f1,E2,f2
1.0,9.7859,0.1115,9.786,0.1115
2.0,6.269,0.0759,8.4028,0.0166
3.0,6.8513,0.0545,8.5809,0.0
4.0,9.3122,0.032,9.3122,0.032
5.0,8.35,0.0,8.35,0.0
6.0,5.3914,0.004,6.3474,0.035
7.0,6.1124,0.0009,7.0062,0.0269
8.0,8.2371,0.0187,8.2371,0.0187
9.0,4.7295,0.0001,4.7295,0.0001
10.0,7.1612,0.0598,7.735,0.0
11.0,3.9217,0.0,6.4308,0.0312
12.0,6.9262,0.0,7.0331,0.0
13.0,7.8978,0.0033,8.2319,0.0436
14.0,5.4016,0.0106,6.1661,0.0031
15.0,6.1147,0.0142,6.9686,0.0133
16.0,7.8513,0.0013,8.0788,0.0164
17.0,8.3138,0.0209,9.216,0.0
18.0,5.0128,0.0063,5.8337,0.0048
19.0,5.9489,0.0252,6.7198,0.0
20.0,6.4838,0.0057,7.2149,0.0367
21.0,4.2281,0.0,6.0999,0.0235
22.0,7.7323,0.0002,7.7323,0.0002
23.0,5.6598,0.0042,5.8513,0.0137
24.0,5.4789,0.0006,5.932,0.0223
25.0,5.6904,0.0007,6.7641,0.0421
26.0,6.8161,0.0331,7.3635,0.0072
27.0,5.5938,0.0569,5.6755,0.0187
28.0,5.6332,0.0005,6.3733,0.0017
29.0,6.5068,0.004,6.5068,0.004
30.0,7.3784,0.0022,7.3786,0.0022
31.0,5.8635,0.0027,6.5665,0.0023
32.0,6.5122,0.0255,7.0298,0.0
