title,E1,f1,E2,f2
1.0,10.5348,0.1368,10.5349,0.1368
2.0,6.9303,0.078,9.0957,0.015
3.0,7.5509,0.0533,9.376,0.0
4.0,10.1355,0.032,10.1355,0.032
5.0,9.2277,0.0,9.2277,0.0
6.0,6.2178,0.0088,7.4977,0.0384
7.0,6.9228,0.0026,8.2921,0.0363
8.0,9.3429,0.0192,9.3429,0.0192
9.0,4.8612,0.0001,4.8612,0.0001
10.0,7.6879,0.0705,7.8616,0.3729
11.0,4.0048,0.0,7.4577,0.0264
12.0,0.002,0.0,6.8133,0.0
13.0,6.7222,0.0,7.0051,0.0
14.0,8.8873,0.002,9.2723,0.0058
15.0,6.326,0.0115,7.5417,0.0031
16.0,7.0506,0.0098,8.3455,0.0213
17.0,9.0446,0.0044,9.3961,0.0101
18.0,9.4229,0.0284,10.1127,0.0
19.0,5.9433,0.0017,7.1054,0.0431
20.0,7.1217,0.0267,8.1502,0.0
21.0,7.2485,0.0222,7.5834,0.4129
22.0,4.3582,0.0001,7.3441,0.0179
23.0,7.8788,0.0,8.2293,0.0015
24.0,6.305,0.0079,6.461,0.0012
25.0,5.6722,0.0007,7.3304,0.0085
26.0,5.8741,0.0009,8.0103,0.0264
27.0,7.4711,0.0448,7.7409,0.3314
28.0,5.8277,0.0057,6.1454,0.1666
29.0,5.9266,0.001,6.9765,0.1822
30.0,6.7101,0.0,6.975,0.0008
31.0,8.2373,0.0001,8.2375,0.0001
32.0,6.8218,0.0015,7.7295,0.0334
33.0,7.8479,0.0165,8.1315,0.0281
