title,E1,f1,E2,f2
1.0,10.683,0.12567605,10.684,0.123979599
2.0,6.492,0.082842539,8.093,0.002745456
3.0,7.562,0.053725477,9.38,0.0
4.0,10.387,0.038169874,10.387,0.038169883
5.0,9.382,0.0,9.382,0.0
6.0,5.84,0.01665765,7.106,0.000971762
7.0,6.835,0.003665014,8.094,0.032876839
8.0,9.375,0.002630082,9.375,0.002594509
9.0,4.909,0.000154042,4.909,0.000154042
10.0,7.439,0.083587175,7.915,0.37051698
11.0,3.99,0.0,7.219,0.018032614
12.0,7.524,1e-09,7.817,0.0
13.0,8.98,0.000142126,9.148,0.039690188
14.0,5.869,0.017294441,7.0,0.002692726
15.0,6.955,0.013052633,8.065,0.024184534
16.0,9.229,0.006684892,9.429,0.0160818
17.0,9.591,0.029203218,10.076,2.4e-08
18.0,5.515,0.000439514,6.5,0.029336827
19.0,6.86,0.019681149,7.678,0.028601709
20.0,7.04,0.022091735,7.549,0.028578918
21.0,6.272,0.003959981,6.957,0.026875209
22.0,8.425,5.7e-08,8.776,0.001980087
23.0,5.968,0.008686314,6.215,0.010444968
24.0,5.563,0.000699342,6.904,0.020780834
25.0,5.761,0.000842448,7.832,0.030194373
26.0,7.346,0.05515508,7.741,0.325024702
27.0,5.859,0.016199022,6.455,0.224531039
28.0,5.902,0.002038777,6.903,0.226306968
29.0,7.383,6.95e-07,7.556,0.02472535
30.0,7.932,0.000568738,7.933,0.000519175
31.0,6.447,0.005663349,7.172,0.029847103
32.0,7.414,0.000845201,7.667,0.038831752
