title,E1,f1,E2,f2
1.0,10.9401,0.1548,10.9402,0.1548
2.0,7.3234,0.0784,9.5119,0.0129
3.0,7.89,0.0541,9.7935,0.0
4.0,10.3907,0.0337,10.3907,0.0337
5.0,9.6607,0.0,9.6607,0.0
6.0,6.6401,0.0105,8.1422,0.0414
7.0,7.2691,0.0033,8.92,0.0435
8.0,9.6519,0.0125,9.6519,0.0125
9.0,4.8722,0.0,4.8722,0.0
10.0,7.8924,0.3877,8.0964,0.0765
11.0,3.9712,0.0,7.876,0.021
12.0,0.0054,0.0,6.82,0.0
13.0,6.5619,0.0,7.0018,0.0
14.0,9.3448,0.001,9.7911,0.0057
15.0,6.7746,0.012,8.1163,0.0124
16.0,7.4517,0.0091,8.9632,0.0188
17.0,9.4631,0.0063,9.879,0.0077
18.0,9.7954,0.0284,10.3304,0.0
19.0,6.4036,0.0005,7.7101,0.0505
20.0,7.619,0.0233,8.7007,0.0512
21.0,7.6639,0.4287,7.7134,0.0298
22.0,4.3541,0.0001,7.8395,0.0169
23.0,7.8172,0.0,8.3038,0.0012
24.0,6.3882,0.0072,6.9106,0.0035
25.0,5.6811,0.0007,7.777,0.1015
26.0,5.8964,0.0009,8.4851,0.0442
27.0,7.7888,0.3486,7.8681,0.0476
28.0,5.8799,0.0025,6.3705,0.2198
29.0,6.0648,0.0013,7.191,0.2075
30.0,6.6166,0.0,7.0277,0.0006
31.0,8.7517,0.0,8.7518,0.0
32.0,7.2999,0.0026,8.376,0.0355
33.0,8.2862,0.0014,8.695,0.0505
