title,E1,f1,E2,f2
1.0,11.0684,0.1571,11.0686,0.1571
2.0,7.4236,0.0836,9.6588,0.0157
3.0,7.9408,0.0566,9.8077,0.0
4.0,10.4081,0.0341,10.4081,0.0341
5.0,9.8293,0.0,9.8293,0.0
6.0,6.7788,0.0114,8.226,0.0429
7.0,7.3671,0.0036,8.9363,0.0418
8.0,9.691,0.0117,9.6911,0.0117
9.0,4.889,0.0,4.889,0.0
10.0,7.9871,0.3793,8.2449,0.0
11.0,4.0009,0.0,7.9088,0.0223
12.0,0.0061,0.0,6.7574,0.0
13.0,6.7849,0.0,7.1541,0.0
14.0,9.5067,0.0013,9.9421,0.0066
15.0,6.9002,0.0132,8.2443,0.0182
16.0,7.5319,0.01,9.0048,0.0238
17.0,9.526,0.0066,9.8941,0.008
18.0,9.8183,0.0269,10.3834,0.0
19.0,6.5453,0.0007,7.8208,0.0519
20.0,7.6504,0.0226,8.75,0.0495
21.0,7.7346,0.4269,7.9306,0.0326
22.0,4.3388,0.0001,7.8798,0.0179
23.0,7.9698,0.0,8.4106,0.0014
24.0,6.3923,0.0071,7.0885,0.0068
25.0,5.6651,0.0007,7.7627,0.1012
26.0,5.8818,0.0008,8.4586,0.0454
27.0,7.8405,0.3404,8.0371,0.0491
28.0,5.9137,0.0037,6.3735,0.2281
29.0,6.0569,0.0014,7.1361,0.1965
30.0,6.7805,0.0,7.1354,0.0006
31.0,8.9456,0.0,8.9457,0.0
32.0,7.4482,0.0026,8.479,0.0355
33.0,8.3242,0.0025,8.6529,0.0
