title,E1,f1,E2,f2
1.0,10.6161,0.1445,10.6162,0.1446
2.0,7.1518,0.0746,9.1092,0.014
3.0,7.8564,0.0451,9.4515,0.0
4.0,10.4832,0.0249,10.4832,0.0249
5.0,9.2784,0.0,9.2784,0.0
6.0,6.3641,0.0076,7.6569,0.0399
7.0,7.1433,0.0017,8.5332,0.0385
8.0,9.6389,0.0268,9.639,0.0268
9.0,4.5371,0.0,4.5371,0.0
10.0,7.7229,0.0683,7.9104,0.367
11.0,3.7347,0.0,7.7104,0.0287
12.0,-0.0174,0.0,6.5891,0.0
13.0,6.1953,0.0,7.3718,0.0
14.0,8.9272,0.0016,9.2834,0.0408
15.0,6.4672,0.0099,7.6263,0.0028
16.0,7.2637,0.0072,8.5495,0.0182
17.0,9.2188,0.0047,9.637,0.0082
18.0,9.6837,0.0364,10.3264,0.0
19.0,6.0669,0.0016,7.217,0.0031
20.0,7.3971,0.028,8.3529,0.0275
21.0,7.2829,0.0226,7.6303,0.4066
22.0,4.06,0.0001,7.6208,0.0157
23.0,7.2346,0.0,8.4875,0.0017
24.0,6.148,0.0064,6.4782,0.0017
25.0,5.4579,0.0007,7.3983,0.0129
26.0,5.6446,0.0009,8.2661,0.0257
27.0,7.4756,0.0443,7.8327,0.3309
28.0,5.5662,0.002,6.2256,0.1601
29.0,5.6888,0.001,7.1812,0.1827
30.0,6.1912,0.0,7.3004,0.001
31.0,8.1589,0.0001,8.1591,0.0001
32.0,6.94,0.0011,7.8356,0.0336
33.0,8.1829,0.0141,8.3209,0.0292
