title,E1,f1,E2,f2
1.0,10.3574,0.1078,10.3575,0.1078
2.0,7.0002,0.075,8.8086,0.0105
3.0,7.7103,0.0448,8.9861,0.0
4.0,10.1944,0.0242,10.1944,0.0242
5.0,9.0873,0.0,9.0873,0.0
6.0,6.1599,0.0073,7.4859,0.0363
7.0,6.8747,0.0019,8.2273,0.0257
8.0,9.2692,0.0193,9.2692,0.0193
9.0,4.3308,0.0,4.3308,0.0
10.0,7.4701,0.0647,7.845,0.3647
11.0,3.7324,0.0,7.2663,0.0151
12.0,-0.0167,0.0,6.555,0.0
13.0,6.2601,0.0,7.3729,0.0
14.0,8.8048,0.0007,9.0915,0.0312
15.0,6.3033,0.0091,7.4227,0.007
16.0,7.0477,0.007,8.2424,0.013
17.0,8.9568,0.0042,9.2759,0.007
18.0,9.2939,0.02,10.1494,0.0
19.0,5.8917,0.0006,6.9349,0.0017
20.0,7.1222,0.0183,8.0238,0.0
21.0,7.0906,0.0265,7.5935,0.4074
22.0,4.0508,0.0,7.2524,0.0134
23.0,7.3021,0.0,8.5711,0.0025
24.0,6.0965,0.0067,6.3245,0.0009
25.0,5.4426,0.0006,7.2093,0.0126
26.0,5.6382,0.0007,8.0612,0.0142
27.0,7.1903,0.039,7.7569,0.3272
28.0,5.5796,0.0019,6.1721,0.1365
29.0,5.7373,0.0012,7.0547,0.0013
30.0,6.2497,0.0,7.1503,0.0255
31.0,7.9057,0.0004,7.9059,0.0004
32.0,6.7303,0.0006,7.49,0.0031
33.0,7.7717,0.0093,8.2254,0.0
