title,E1,f1,E2,f2
1.0,10.5634,0.1358,10.5635,0.1358
2.0,7.003,0.0817,9.1512,0.0181
3.0,7.6733,0.0543,9.4587,0.0
4.0,10.3296,0.0317,10.3296,0.0317
5.0,9.151,0.0,9.151,0.0
6.0,6.213,0.0068,7.3236,0.0406
7.0,6.9807,0.0016,8.1158,0.0354
8.0,9.358,0.0259,9.3581,0.0259
9.0,4.8783,0.0001,4.8783,0.0001
10.0,7.7348,0.0695,7.9421,0.3633
11.0,4.0272,0.0,7.3986,0.0343
12.0,0.0021,0.0,6.8253,0.0
13.0,6.879,0.0,7.1658,0.0
14.0,8.7306,0.0029,9.1208,0.0064
15.0,6.2638,0.011,7.2553,0.0065
16.0,7.0392,0.0106,8.1189,0.0185
17.0,8.9297,0.0033,9.2853,0.0122
18.0,9.3898,0.0324,10.1221,0.0
19.0,5.861,0.0041,6.8781,0.0044
20.0,6.9894,0.0308,7.8956,0.0
21.0,7.1866,0.015,7.609,0.4075
22.0,4.3575,0.0001,7.1836,0.0191
23.0,7.9367,0.0,8.3153,0.0018
24.0,6.2999,0.0076,6.4474,0.0008
25.0,5.6927,0.0007,7.1058,0.0029
26.0,5.8947,0.0009,7.8798,0.0293
27.0,7.4894,0.0435,7.805,0.3222
28.0,5.8319,0.0079,6.1306,0.163
29.0,5.8849,0.0009,6.9402,0.169
30.0,6.7971,0.0,7.0704,0.0009
31.0,8.1897,0.0008,8.1899,0.0008
32.0,6.7674,0.0015,7.5752,0.0335
33.0,7.7122,0.0309,8.089,0.0113
