title,E1,f1,E2,f2
1.0,9.9276,0.1149,9.9277,0.1149
2.0,6.4337,0.0788,8.6042,0.0175
3.0,6.9976,0.056,8.743,0.0
4.0,9.4834,0.0327,9.4834,0.0327
5.0,8.4401,0.0,8.4401,0.0
6.0,5.5221,0.004,6.5073,0.0367
7.0,6.2265,0.0008,7.1434,0.0281
8.0,8.3474,0.0192,8.3474,0.0192
9.0,4.7296,0.0001,4.7296,0.0001
10.0,7.39,0.0615,7.7479,0.0
11.0,3.8985,0.0,6.5454,0.0323
12.0,7.0077,0.0,7.2013,0.0
13.0,7.958,0.0034,8.3376,0.0064
14.0,5.51,0.0106,6.3023,0.0029
15.0,6.2126,0.014,7.0867,0.0134
16.0,7.9241,0.0014,8.1839,0.0161
17.0,8.3961,0.022,9.2746,0.0
18.0,5.1184,0.0065,5.9782,0.0047
19.0,6.0444,0.026,6.8573,0.0
20.0,6.6765,0.0059,7.4356,0.0346
21.0,4.2108,0.0,6.198,0.0227
22.0,7.9372,0.0001,7.9372,0.0001
23.0,5.8233,0.0054,5.9874,0.0047
24.0,5.4899,0.0006,6.0601,0.0214
25.0,5.7079,0.0007,6.8887,0.0425
26.0,7.0144,0.034,7.5803,0.0076
27.0,5.6471,0.0292,5.7759,0.0809
28.0,5.6579,0.0006,6.4436,0.1111
29.0,6.7168,0.0041,6.7168,0.0041
30.0,7.5642,0.0022,7.5644,0.0022
31.0,6.0167,0.0028,6.75,0.0026
32.0,6.6523,0.0263,7.1764,0.0
