title,E1,f1,E2,f2
1.0,9.8431,0.1039,9.8432,0.1039
2.0,6.346,0.0746,8.4606,0.0154
3.0,6.8873,0.0525,8.5424,0.0
4.0,9.3219,0.0309,9.3219,0.0309
5.0,8.3419,0.0,8.3419,0.0
6.0,5.412,0.0039,6.4141,0.0335
7.0,6.0828,0.0012,7.04,0.0246
8.0,8.2208,0.0158,8.2208,0.0158
9.0,4.7251,0.0001,4.7251,0.0001
10.0,7.2766,0.0567,7.7664,0.0
11.0,3.9105,0.0,6.4608,0.0274
12.0,6.9996,0.0,7.1812,0.0
13.0,7.8723,0.0026,8.226,0.0409
14.0,5.4055,0.0099,6.1843,0.0028
15.0,6.0907,0.0134,6.9561,0.0123
16.0,7.8125,0.0012,8.0448,0.0148
17.0,8.2384,0.0171,9.1705,0.0
18.0,5.0223,0.005,5.8709,0.0041
19.0,5.958,0.0215,6.7585,0.0
20.0,6.5548,0.0053,7.3143,0.0282
21.0,4.2197,0.0,6.081,0.0219
22.0,7.8111,0.0001,7.8112,0.0001
23.0,5.7016,0.005,5.8862,0.0135
24.0,5.4942,0.0006,5.9368,0.0226
25.0,5.7103,0.0007,6.7251,0.0416
26.0,6.8734,0.0294,7.4576,0.0082
27.0,5.6367,0.0408,5.7286,0.0389
28.0,5.6577,0.0005,6.3612,0.0023
29.0,6.5975,0.0034,6.5976,0.0034
30.0,7.4366,0.0019,7.4367,0.0019
31.0,5.8999,0.0024,6.6443,0.0022
32.0,6.5422,0.0223,7.0714,0.0
