title,E1,f1,E2,f2
1.0,10.701,0.124168403,10.701,0.122908616
2.0,6.496,0.083280195,8.082,0.00290889
3.0,7.575,0.054434154,9.37,0.0
4.0,10.409,0.038502573,10.409,0.038502573
5.0,9.367,0.0,9.368,0.0
6.0,5.843,0.017286353,7.086,0.001022696
7.0,4.835,0.007962922,6.632,0.007738828
8.0,9.389,0.002966161,9.389,0.002924531
9.0,4.975,0.000177743,4.975,0.000177743
10.0,7.577,0.078255977,7.943,0.390547043
11.0,3.991,0.0,7.174,0.021979864
12.0,7.549,1.25e-07,7.845,0.0
13.0,8.976,0.000859778,9.156,0.038846319
14.0,5.946,0.018655028,6.991,0.003877144
15.0,6.966,0.013315393,8.045,0.025788893
16.0,9.217,0.005869137,9.422,0.012225332
17.0,9.572,0.027829068,10.074,0.0
18.0,5.653,0.000362156,6.445,0.028776379
19.0,6.865,0.01991081,7.663,0.026926591
20.0,6.991,0.029139666,7.577,0.353505102
21.0,4.239,8.6251e-05,7.03,0.018608025
22.0,8.424,1.1e-08,8.778,0.001626579
23.0,6.005,0.007280477,6.243,0.0094345
24.0,5.573,0.000581952,6.838,0.023900495
25.0,5.767,0.000854895,7.785,0.032062597
26.0,7.455,0.050582237,8.024,0.316757811
27.0,5.8,0.049152184,6.091,0.04811887
28.0,5.919,0.001521126,6.92,0.210704143
29.0,7.41,2.42e-07,7.528,0.021559923
30.0,7.92,0.000345184,7.922,0.000322015
31.0,6.439,0.004995254,7.117,0.03531165
32.0,7.437,0.002236451,7.587,0.039855873
