title,E1,f1,E2,f2
1.0,9.9516,0.1249,9.9517,0.1249
2.0,6.502,0.083,8.7146,0.0168
3.0,7.13,0.0588,8.938,0.0
4.0,9.671,0.0341,9.671,0.0341
5.0,8.3903,0.0,8.3903,0.0
6.0,5.558,0.0042,6.5802,0.0384
7.0,6.2936,0.0007,7.2547,0.0307
8.0,8.4459,0.0215,8.446,0.0215
9.0,4.6187,0.0001,4.6187,0.0001
10.0,7.5329,0.0,7.5415,0.0686
11.0,3.7668,0.0,6.6372,0.0368
12.0,6.9624,0.0,7.2676,0.0
13.0,7.8624,0.0038,8.3106,0.0069
14.0,5.5303,0.0105,6.3694,0.0039
15.0,6.2652,0.0129,7.1891,0.0144
16.0,7.9485,0.0016,8.2966,0.0157
17.0,8.4902,0.026,9.2332,0.0
18.0,5.1099,0.0066,6.0503,0.0045
19.0,6.0637,0.0286,6.9553,0.0
20.0,6.7864,0.0071,7.4004,0.3638
21.0,4.1225,0.0001,6.2722,0.0221
22.0,7.948,0.0,8.1024,0.0002
23.0,5.8312,0.006,6.0212,0.0034
24.0,5.4118,0.0007,6.1581,0.0201
25.0,5.6544,0.0008,7.0364,0.0432
26.0,7.1829,0.0394,7.5836,0.2765
27.0,5.5509,0.0077,5.7834,0.1421
28.0,5.5648,0.0006,6.4478,0.1208
29.0,6.7628,0.0,6.8503,0.0049
30.0,7.6731,0.0017,7.6733,0.0017
31.0,6.0399,0.0027,6.8303,0.0286
32.0,6.7435,0.0293,7.2865,0.0
