title,E1,f1,E2,f2
1.0,10.4985,0.1283,10.4986,0.1283
2.0,6.8902,0.0841,9.0414,0.0202
3.0,7.4749,0.0564,9.2119,0.0
4.0,10.055,0.033,10.055,0.033
5.0,9.0872,0.0,9.0872,0.0
6.0,6.0662,0.0057,7.0844,0.0402
7.0,6.792,0.0014,7.7802,0.031
8.0,9.0544,0.0223,9.0545,0.0223
9.0,5.0161,0.0001,5.0161,0.0001
10.0,7.6554,0.0685,8.0099,0.3619
11.0,4.1821,0.0,7.1302,0.032
12.0,0.0035,0.0,6.8953,0.0
13.0,7.197,0.0,7.2361,0.0
14.0,8.6556,0.0031,8.9413,0.0459
15.0,6.0878,0.0111,6.9415,0.0042
16.0,6.8057,0.013,7.7429,0.0159
17.0,8.6745,0.0024,8.8897,0.0148
18.0,9.0965,0.025,9.9754,0.0
19.0,5.6965,0.0054,6.5841,0.0048
20.0,6.7018,0.0274,7.5171,0.0
21.0,7.0576,0.011,7.6485,0.4073
22.0,4.4479,0.0,6.8494,0.0208
23.0,8.1899,0.0,8.3237,0.0021
24.0,6.2439,0.0053,6.3703,0.0018
25.0,5.7542,0.0006,6.7139,0.0094
26.0,5.955,0.0007,7.5042,0.0333
27.0,7.3506,0.0399,7.7999,0.314
28.0,5.9141,0.0373,6.0729,0.1175
29.0,5.93,0.0008,6.7803,0.1559
30.0,7.0403,0.0,7.0966,0.0012
31.0,8.003,0.0018,8.0032,0.0018
32.0,6.5781,0.0021,7.3205,0.004
33.0,7.3383,0.0276,7.8622,0.0
