title,E1,f1,E2,f2
1.0,10.277,0.12,10.2771,0.12
2.0,6.684,0.0833,8.8404,0.0202
3.0,7.2229,0.0571,8.9361,0.0
4.0,9.7351,0.0334,9.7351,0.0334
5.0,8.8386,0.0,8.8386,0.0
6.0,5.8092,0.0046,6.7862,0.0389
7.0,6.5096,0.0011,7.4126,0.0285
8.0,8.658,0.0192,8.6581,0.0192
9.0,4.9767,0.0002,4.9767,0.0002
10.0,7.5274,0.0653,8.0071,0.3513
11.0,4.152,0.0,6.8064,0.031
12.0,7.2563,0.0,7.2563,0.0
13.0,8.3824,0.0032,8.6534,0.045
14.0,5.8016,0.011,6.5819,0.0028
15.0,6.4902,0.0146,7.3495,0.0135
16.0,8.2793,0.0017,8.4589,0.0163
17.0,8.7174,0.0212,9.6547,0.0
18.0,5.4212,0.0063,6.2474,0.0049
19.0,6.3457,0.0254,7.1222,0.0
20.0,6.8641,0.0075,7.5954,0.394
21.0,4.4038,0.0,6.4707,0.0223
22.0,8.1546,0.0004,8.1546,0.0004
23.0,6.0303,0.0036,6.2219,0.003
24.0,5.6887,0.0006,6.304,0.0177
25.0,5.894,0.0007,7.1188,0.0381
26.0,7.1692,0.036,7.722,0.2972
27.0,5.8368,0.0689,5.9628,0.0606
28.0,5.8526,0.0006,6.5948,0.1375
29.0,6.9167,0.0055,6.9167,0.0055
30.0,7.7674,0.0026,7.7676,0.0026
31.0,6.2981,0.0027,6.9945,0.003
32.0,6.938,0.0257,7.4576,0.0
