title,E1,f1,E2,f2
1.0,10.7666,0.155,10.7667,0.155
2.0,7.166,0.0898,9.4192,0.0186
3.0,7.8465,0.0582,9.6442,0.0
4.0,10.5322,0.0337,10.5322,0.0337
5.0,9.5022,0.0,9.5022,0.0
6.0,6.4987,0.0109,7.8071,0.0445
7.0,7.2362,0.0028,8.5801,0.0407
8.0,9.6441,0.0232,9.6441,0.0232
9.0,4.8933,0.0001,4.8933,0.0001
10.0,7.9049,0.3786,7.9118,0.0894
11.0,4.0731,0.0,7.7087,0.029
12.0,0.0022,0.0,6.8218,0.0
13.0,6.8549,0.0,7.1021,0.0
14.0,9.1445,0.0028,9.5384,0.0076
15.0,6.5898,0.0134,7.8697,0.0036
16.0,7.3368,0.0102,8.6347,0.0244
17.0,9.3262,0.0053,9.6979,0.0107
18.0,9.7235,0.033,10.4117,0.0
19.0,6.2139,0.0018,7.418,0.0514
20.0,7.3586,0.0288,8.4601,0.0
21.0,7.4926,0.0339,7.6246,0.4223
22.0,4.3825,0.0001,7.6051,0.0189
23.0,7.939,0.0,8.3008,0.0014
24.0,6.3738,0.007,6.7646,0.003
25.0,5.721,0.0007,7.5335,0.0269
26.0,5.9272,0.0008,8.2382,0.0297
27.0,7.7151,0.0596,7.8026,0.3378
28.0,5.8762,0.0066,6.2323,0.2076
29.0,5.9712,0.001,7.0267,0.1868
30.0,6.7988,0.0,7.0469,0.0006
31.0,8.5343,0.0,8.5345,0.0
32.0,7.1137,0.0018,8.0126,0.0395
33.0,8.1146,0.0172,8.3935,0.0321
