title,E1,f1,E2,f2
1.0,11.8959,0.2258,11.896,0.2258
2.0,7.4746,0.0406,9.7,0.0324
3.0,8.1174,0.0198,10.0756,0.0
4.0,10.4987,0.0156,10.4987,0.0156
5.0,10.4744,0.0,10.4744,0.0
6.0,7.0325,0.0037,8.6239,0.0223
7.0,7.8372,0.0013,9.4856,0.0788
8.0,10.5249,0.0848,10.5249,0.0848
9.0,4.9775,0.0001,4.9775,0.0001
10.0,8.172,0.398,8.2891,0.0
11.0,4.0966,0.0,8.8057,0.1746
12.0,0.002,0.0,6.8958,0.0
13.0,6.828,0.0,7.1238,0.0
14.0,9.9962,0.0017,10.417,0.0076
15.0,7.0975,0.0084,8.4629,0.0184
16.0,7.926,0.0038,9.4652,0.0184
17.0,10.1658,0.0331,10.558,0.0169
18.0,10.622,0.1781,11.2642,0.0
19.0,6.8112,0.0119,7.9941,0.065
20.0,8.1229,0.0839,9.6059,0.0468
21.0,7.8697,0.4679,8.3886,0.0001
22.0,4.3844,0.0,8.7791,0.0379
23.0,7.8796,0.0,8.2732,0.0024
24.0,6.6192,0.012,7.3173,0.0115
25.0,5.8359,0.0017,8.088,0.0589
26.0,5.9986,0.0016,8.8099,0.0547
27.0,8.0802,0.3698,8.653,0.0049
28.0,5.9887,0.0045,6.5539,0.2416
29.0,5.9228,0.003,7.2282,0.1942
30.0,6.7433,0.0,7.0324,0.0013
31.0,9.4367,0.0,9.4369,0.0
32.0,7.4826,0.0049,8.8337,0.0501
33.0,8.6717,0.0,9.0631,0.1017
