title,E1,f1,E2,f2
1.0,10.7114,0.1566,10.7115,0.1566
2.0,7.246,0.0921,9.496,0.0218
3.0,7.8201,0.0575,9.6353,0.0
4.0,10.5232,0.0336,10.5232,0.0336
5.0,9.4463,0.0,9.4463,0.0
6.0,6.5105,0.0099,7.8158,0.0467
7.0,7.2242,0.0018,8.5533,0.0453
8.0,9.6126,0.0321,9.6126,0.0321
9.0,4.8849,0.0001,4.8849,0.0001
10.0,7.8283,0.3765,7.8681,0.0865
11.0,4.07,0.0,7.6997,0.0333
12.0,0.0021,0.0,6.8695,0.0
13.0,6.7085,0.0,6.961,0.0
14.0,9.0821,0.0026,9.5018,0.0082
15.0,6.5975,0.0128,7.8834,0.0065
16.0,7.3251,0.0095,8.622,0.0252
17.0,9.2548,0.0063,9.677,0.0107
18.0,9.6273,0.0386,10.4058,0.0
19.0,6.1782,0.0023,7.3629,0.0519
20.0,7.3587,0.0337,8.4485,0.0
21.0,7.4528,0.0325,7.5441,0.4239
22.0,4.3704,0.0001,7.6121,0.0193
23.0,7.7951,0.0,8.1604,0.0014
24.0,6.4068,0.0072,6.718,0.0027
25.0,5.722,0.0007,7.525,0.0294
26.0,5.9214,0.0009,8.2226,0.0313
27.0,7.6547,0.0589,7.7256,0.3395
28.0,5.8685,0.0048,6.18,0.2162
29.0,5.9093,0.001,7.0001,0.1984
30.0,6.6558,0.0,6.9087,0.0006
31.0,8.5174,0.0,8.5176,0.0
32.0,7.0767,0.0015,7.9771,0.0387
33.0,8.1174,0.0255,8.4477,0.0301
