title,E1,f1,E2,f2
1.0,11.3892,0.2192,11.3893,0.2192
2.0,7.1074,0.0586,9.2865,0.0245
3.0,7.9842,0.0362,9.9194,0.0
4.0,10.4637,0.0266,10.4637,0.0266
5.0,9.9126,0.0,9.9126,0.0
6.0,6.6099,0.0077,8.3029,0.015
7.0,7.4714,0.0001,9.1307,0.0758
8.0,9.9523,0.0149,9.9523,0.0149
9.0,4.9444,0.0,4.9444,0.0
10.0,7.855,0.3768,8.1952,0.0
11.0,4.0557,0.0,8.4672,0.1086
12.0,0.0054,0.0,6.8396,0.0
13.0,6.8141,0.0,7.0678,0.0
14.0,9.4702,0.0028,9.8724,0.0059
15.0,6.7009,0.0101,8.0937,0.0095
16.0,7.5697,0.0049,9.0763,0.0192
17.0,9.7554,0.0149,10.1142,0.0105
18.0,10.3336,0.106,10.5477,0.0
19.0,6.4099,0.0044,7.6837,0.0727
20.0,7.6604,0.0481,8.7562,0.0705
21.0,7.596,0.4253,8.1762,0.0022
22.0,4.3841,0.0001,8.2631,0.0145
23.0,7.9118,0.0,8.2671,0.0018
24.0,6.5147,0.0093,6.9252,0.0067
25.0,5.7678,0.001,7.7606,0.0473
26.0,5.9451,0.0012,8.4967,0.0491
27.0,7.7976,0.3472,8.4567,0.0142
28.0,5.8928,0.0098,6.2331,0.2091
29.0,5.9576,0.0014,6.9958,0.1875
30.0,6.7644,0.0,7.0148,0.0009
31.0,8.9924,0.0067,8.9926,0.0067
32.0,7.2088,0.0037,8.4098,0.0477
33.0,8.504,0.0,8.5051,0.0
