title,E1,f1,E2,f2
1.0,10.3704,0.1393,10.3705,0.1393
2.0,6.609,0.0882,8.8532,0.0153
3.0,7.5522,0.0542,9.1515,0.0
4.0,10.2412,0.0333,10.2412,0.0333
5.0,9.1216,0.0,9.1216,0.0
6.0,6.0629,0.0138,7.2387,0.0434
7.0,6.8963,0.0019,8.1059,0.0372
8.0,9.2134,0.0203,9.2134,0.0203
9.0,4.92,0.0001,4.92,0.0001
10.0,7.5138,0.0936,7.7709,0.373
11.0,4.0343,0.0,7.2404,0.0247
12.0,0.0054,0.0,6.8323,0.0
13.0,6.7712,0.0,7.0179,0.0
14.0,8.7783,0.002,9.1514,0.0061
15.0,6.146,0.0149,7.2956,0.0311
16.0,6.9944,0.0097,8.1648,0.0236
17.0,8.9092,0.0048,9.2524,0.01
18.0,9.2846,0.0298,9.9496,0.0
19.0,5.8464,0.0009,6.8438,0.0587
20.0,6.9496,0.0274,7.9355,0.0
21.0,7.0526,0.0357,7.4973,0.4079
22.0,4.3654,0.0001,7.1095,0.0161
23.0,7.8857,0.0,8.2323,0.0014
24.0,6.2959,0.0065,6.4047,0.0035
25.0,5.6984,0.0007,7.1578,0.0015
26.0,5.8907,0.0009,7.8549,0.0269
27.0,7.3151,0.0613,7.6642,0.3287
28.0,5.8439,0.0177,6.0419,0.1183
29.0,5.9393,0.0008,6.9,0.1861
30.0,6.7272,0.0,6.9685,0.0005
31.0,8.118,0.0001,8.1182,0.0001
32.0,6.7114,0.0026,7.4971,0.0432
33.0,7.639,0.0115,7.9767,0.0397
